String	Index
The Will of Nya're	The Will of Nya're
Veil of Nightmares	Veil of Nightmares
Lumin Robe	Lumin Robe
The Hydra's Skin	The Hydra's Skin
Desert Power	Desert Power
Ringweave	Ringweave
Duskforce	Duskforce
Mirrored Mail	Mirrored Mail
Bandweave	Bandweave
Ya Hya Chauhadda	Ya Hya Chauhadda
Tideclash	Tideclash
The Power Within	The Power Within
Shade Force	Shade Force
The Lightbringer's Skin	The Lightbringer's Skin
Tempest Cage	Tempest Cage
Phobus	Phobus
Kalabolg's Spellslayer	Kalabolg's Spellslayer
Reflection Shield	Reflection Shield
Arthur's Guard	Arthur's Guard
Unheimlich Handschuh	Unheimlich Handschuh
Archer Grip	Archer Grip
Avatar's Hands	Avatar's Hands
The Grip of Mana	The Grip of Mana
Zeidrich	Zeidrich
Shadowwalk	Shadowwalk
The Fetlock	The Fetlock
Hyper	Hyper
Zzarian Ulsii	Zzarian Ulsii
Leapspring Boots	Leapspring Boots
Silksmoke	Silksmoke
Ranya's Shackle	Ranya's Shackle
Coil of Glory	Coil of Glory
The Aarya Cords	The Aarya Cords
The Energy Band	The Energy Band
Toothskull	Toothskull
Skulleyed Wall	Skulleyed Wall
Axeclash Hold	Axeclash Hold
Runes of Aq'kan	Runes of Aq'kan
Moonsteel Circlet	Moonsteel Circlet
Decimating Band	Decimating Band
Niyzarian Ok'la	Niyzarian Ok'la
Asudia Bow	Asudia Bow
Heartsting	Heartsting
Ambush of Rehara	Ambush of Rehara
Tera's Risk	Tera's Risk
Hatla's Rain	Hatla's Rain
Terenbrae Thorn	Terenbrae Thorn
Wolf Blades	Wolf Blades
Taarian Hands	Taarian Hands
Bearfist	Bearfist
Eagle Call	Eagle Call
Dragon Call	Dragon Call
Twilight Scissors	Twilight Scissors
Wave of Sanctity	Wave of Sanctity
Diablo's Burn	Diablo's Burn
Smoketwist	Smoketwist
Helabrega's Destiny	Helabrega's Destiny
Cairn Heart	Cairn Heart
Wisp Flight	Wisp Flight
Zephyr Sticks	Zephyr Sticks
Call of Nii'eeb	Call of Nii'eeb
Dragon Teeth	Dragon Teeth
Centrefugal Force	Centrefugal Force
Flying Death	Flying Death
Hara's Knife	Hara's Knife
Hurler's Axe	Hurler's Axe
Akaran Axe	Akaran Axe
Larzuk's Helm	Larzuk's Helm
The Vampire's Guise	The Vampire's Guise
Hornet Force	Hornet Force
Leapspring Helm	Leapspring Helm
Eagle Guard	Eagle Guard
Whitefang's Guise	Whitefang's Guise
Talon's Face	Talon's Face
Spirit of Aq'kan	Spirit of Aq'kan
Feathers for Mna'Reci	Feathers for Mna'Reci
Ert'glacis Nyarin	Ert'glacis Nyarin
Erena Jjukara	Erena Jjukara
Mnaran Arn	Mnaran Arn
Emblic Guard	Emblic Guard
Terminus Zeta	Terminus Zeta
Et Larac Zzira	Et Larac Zzira
Duriel's Guard	Duriel's Guard
Flesh of the Lifeless	Flesh of the Lifeless
Belial's Lies	Belial's Lies
Unjja's Soul	Unjja's Soul
Azmodan's Sin	Azmodan's Sin
Ranadan Scing	Ranadan Scing
Ironstring	Ironstring
Zonian Legion	Zonian Legion
Revenge of Rehara	Revenge of Rehara
Hatla's Storm	Hatla's Storm
Moonspoke	Moonspoke
Akaran Spike	Akaran Spike
Angel Hands	Angel Hands
Shaderip	Shaderip
Stormchatcher	Stormchatcher
Fist of Chton	Fist of Chton
Bladed Guard	Bladed Guard
Angel Orb	Angel Orb
Shockstone	Shockstone
Clouds of Justice	Clouds of Justice
Mania Force	Mania Force
Storm Stone	Storm Stone
Slayer Pilum	Slayer Pilum
Spirit Whisker	Spirit Whisker
Azd Nya	Azd Nya
Azkan Whisper	Azkan Whisper
Ghost Hunter	Ghost Hunter
Spinslitter	Spinslitter
Flipdart	Flipdart
Rulan Axe	Rulan Axe
Arreat Axe	Arreat Axe
Maui Visor	Maui Visor
Nemian Helm	Nemian Helm
Nioj Guard	Nioj Guard
Hero Guard	Hero Guard
Courage Visor	Courage Visor
Galace's Grace	Galace's Grace
The Shifter's Feathers	The Shifter's Feathers
The Hunted	The Hunted
Windwave	Windwave
Stripes of Zun-senni	Stripes of Zun-senni
Mirror Disc	Mirror Disc
Link's Protector	Link's Protector
Dargon's Symbol	Dargon's Symbol
Golden Crest	Golden Crest
Tiran Disc	Tiran Disc
Nga'Ranaka'Sya	Nga'Ranaka'Sya
Endugu's Totem	Endugu's Totem
Xerrom Kalar	Xerrom Kalar
Haju Head	Haju Head
Kahlim's Shame	Kahlim's Shame
Esa's Dive	Esa's Dive
Sting	Sting
Skullcrasher	Skullcrasher
Overlord's Slayer	Overlord's Slayer
Tera's Spears	Tera's Spears
Wrist Trap	Wrist Trap
Slayer Thorn	Slayer Thorn
Salia's Fist	Salia's Fist
Sesci	Sesci
Redana Salanen	Redana Salanen
The Tyger	The Tyger
Azarian Force	Azarian Force
Hope	Hope
Tal Rasha's True Symbol	Tal Rasha's True Symbol
Static Orb	Static Orb
Worldstone Orb	Worldstone Orb
Planar Warp	Planar Warp
Hydra Teeth	Hydra Teeth
Dragon Harpoon	Dragon Harpoon
Berserker Javelin	Berserker Javelin
Spirit Shard	Spirit Shard
Demon Hunter	Demon Hunter
Araya Knife	Araya Knife
Thieves' Knife	Thieves' Knife
Spinning Death	Spinning Death
Araya Axe	Araya Axe
Face of Courage	Face of Courage
The Fangs of Fenrir	The Fangs of Fenrir
Face of Wisdom	Face of Wisdom
Face of Power	Face of Power
Face of Honor	Face of Honor
Terminus Alpha	Terminus Alpha
Dawn Helm	Dawn Helm
Plane of Mana	Plane of Mana
Zun-senni's Endless Sky	Zun-senni's Endless Sky
Spirit Dreams	Spirit Dreams
Mark of the Initiated	Mark of the Initiated
Guard of the Xel'cen	Guard of the Xel'cen
Hrelian Ward	Hrelian Ward
Shield of Faith	Shield of Faith
Vex Guard	Vex Guard
Mephisto's Skull	Mephisto's Skull
Jjuji Totem	Jjuji Totem
Diablo's Guard	Diablo's Guard
Witch Head	Witch Head
Baal's Visor	Baal's Visor
C'yanni Signet	C'yanni Signet
Malachite Circle	Malachite Circle
The Akaran Jihad	The Akaran Jihad
Jan'Scholen's Seal	Jan'Scholen's Seal
Anya's Grief	Anya's Grief
Nix Encanta Rocidis	Nix Encanta Rocidis
Jchon's Knowledge	Jchon's Knowledge
Circle of Power	Circle of Power
Zzilhi Ormna	Zzilhi Ormna
Azaria's Shade	Azaria's Shade
Xan-Karoth's Third Eye	Xan-Karoth's Third Eye
Aryen's Symbol	Aryen's Symbol
Tears of Tera	Tears of Tera
Zain's Mark	Zain's Mark
Zunsenni Thoughts	Zunsenni Thoughts
Power from the Void	Power from the Void
Elcin's Momento	Elcin's Momento
Layna's Soul	Layna's Soul
Natalya's Word	Natalya's Word
The Little Things	The Little Things
Tera's Eye	Tera's Eye
Salia's Heart	Salia's Heart
Aralac's Fist	Aralac's Fist
Zain's Knowledge	Zain's Knowledge
Zzan's Sigil	Zzan's Sigil
Arctuik's Aura	Arctuik's Aura
Ana's Globe	Ana's Globe
Rena's Teardrop	Rena's Teardrop
Slinger Emblem	Slinger Emblem
Mania Symbol	Mania Symbol
Doublekey	Doublekey
Wishfire	Wishfire
Treason	Treason
Blackbiter	Blackbiter
Mooncleanser	Mooncleanser
Kingspark	Kingspark
Sleepslicer	Sleepslicer
Foxweeping	Foxweeping
Townflux	Townflux
Crystalshell	Crystalshell
Dustdazzler	Dustdazzler
Hundredpounder	Hundredpounder
Patterntricker	Patterntricker
Blightcipher	Blightcipher
Townhollow	Townhollow
Raineater	Raineater
Shieldwither	Shieldwither
Drakeharrower	Drakeharrower
Morningfade	Morningfade
Damselharrier	Damselharrier
Wavecutter	Wavecutter
Lionflame	Lionflame
Chanceheart	Chanceheart
Thundercaster	Thundercaster
Sunwinder	Sunwinder
Crestreaper	Crestreaper
Fatespectre	Fatespectre
Shieldshatter	Shieldshatter
Sunwinder	Sunwinder
Quickshell	Quickshell
Chainspark	Chainspark
Skullcipher	Skullcipher
Spiritweaver	Spiritweaver
Wyrmborn	Wyrmborn
Kingspectre	Kingspectre
Wraithwand	Wraithwand
Queentale	Queentale
Skullcipher	Skullcipher
Peaceshrieker	Peaceshrieker
Foeglory	Foeglory
Castlebringer	Castlebringer
Woundcipher	Woundcipher
Deathhealer	Deathhealer
Skullguard	Skullguard
Childflow	Childflow
Mercycleanser	Mercycleanser
Airrender	Airrender
Cradlekiss	Cradlekiss
Runeshatter	Runeshatter
Grimshear	Grimshear
Dustscreamer	Dustscreamer
Giantflicker	Giantflicker
Hazecleaver	Hazecleaver
Tideshaver	Tideshaver
Rimehalo	Rimehalo
Chanceheart	Chanceheart
Pathsplitter	Pathsplitter
Kingchorus	Kingchorus
Darkhollow	Darkhollow
Crestwhirl	Crestwhirl
Thundercaster	Thundercaster
Lifecarver	Lifecarver
Truthmarker	Truthmarker
Shardharp	Shardharp
Autumnweaver	Autumnweaver
Hellspike	Hellspike
Taintstroke	Taintstroke
Childflow	Childflow
Gloomwand	Gloomwand
Treason	Treason
Bloodflux	Bloodflux
Whiteshadow	Whiteshadow
Waveharp	Waveharp
Winterstaff	Winterstaff
Coincutter	Coincutter
Raincaller	Raincaller
Ghostbeat	Ghostbeat
Maskspindle	Maskspindle
Oathwing	Oathwing
Wishburn	Wishburn
Nightkeen	Nightkeen
Grasseater	Grasseater
Beasthammer	Beasthammer
Luckchorus	Luckchorus
Oathwarden	Oathwarden
Trollkeen	Trollkeen
Boltfang	Boltfang
Townwarden	Townwarden
Keepharvester	Keepharvester
Madsworn	Madsworn
Swiftdealer	Swiftdealer
Lakejacker	Lakejacker
Bonecutter	Bonecutter
Seadrift	Seadrift
Fatekeen	Fatekeen
Leafgiver	Leafgiver
Blightjester	Blightjester
Icesaver	Icesaver
Luckskinner	Luckskinner
Magespindle	Magespindle
Chilltaker	Chilltaker
Skydancer	Skydancer
Ghosttalon	Ghosttalon
Hopewraith	Hopewraith
Evenwail	Evenwail
Frosthalo	Frosthalo
Lionflame	Lionflame
Wyrmstaff	Wyrmstaff
Madjag	Madjag
Lawpale	Lawpale
Silkjacker	Silkjacker
Keepflayer	Keepflayer
Duskshaver	Duskshaver
Galeskinner	Galeskinner
Seashock	Seashock
Leafcutter	Leafcutter
Ruinwinder	Ruinwinder
Madsworn	Madsworn
Tengatherer	Tengatherer
Airwail	Airwail
Towersinger	Towersinger
Truthkeen	Truthkeen
Painwhirl	Painwhirl
Hollowbiter	Hollowbiter
Chanceheart	Chanceheart
Wolfwailer	Wolfwailer
Deathshadow	Deathshadow
Shardharp	Shardharp
Wintergate	Wintergate
Kingblade	Kingblade
Landsmiter	Landsmiter
Oathwailer	Oathwailer
Crystalstaff	Crystalstaff
Serpentsplitter	Serpentsplitter
Spiritweaver	Spiritweaver
Shepherdkindle	Shepherdkindle
Cradlecracker	Cradlecracker
Lawshard	Lawshard
Deathhealer	Deathhealer
Fleshgate	Fleshgate
Giantfury	Giantfury
Hellspike	Hellspike
Witchwand	Witchwand
Shieldflicker	Shieldflicker
Hollowstriker	Hollowstriker
Mistdealer	Mistdealer
Dusktooth	Dusktooth
Deathgiver	Deathgiver
Dawnstealer	Dawnstealer
Woundscourge	Woundscourge
Tideshaver	Tideshaver
Swiftblighter	Swiftblighter
Painsaver	Painsaver
Wishburn	Wishburn
Oathdaughter	Oathdaughter
Ghost's Rush	Ghost's Rush
Featherbringer	Featherbringer
Sightwhirl	Sightwhirl
Duskloom	Duskloom
Fateflayer	Fateflayer
Trollkeen	Trollkeen
Thronewake	Thronewake
Life Eye	Life Eye
Worldsigh	Worldsigh
Frostshiver	Frostshiver
Skullsworn	Skullsworn
Widowgatherer	Widowgatherer
Castleshiver	Castleshiver
Chainhowl	Chainhowl
Witchbanisher	Witchbanisher
Crystalborn	Crystalborn
Maskblinder	Maskblinder
Soulforge	Soulforge
Maskdaughter	Maskdaughter
Duskstrike	Duskstrike
Hoperazor	Hoperazor
Woundblinder	Woundblinder
Dawnscourge	Dawnscourge
Kinjacker	Kinjacker
Featherbanisher	Featherbanisher
Hollowstriker	Hollowstriker
Galeturner	Galeturner
Lifebalm	Lifebalm
Deathscythe	Deathscythe
Candlestriker	Candlestriker
Truthchorus	Truthchorus
Foeglory	Foeglory
Loom-loather	Loom-loather
Shaderavener	Shaderavener
Heartjester	Heartjester
Dragonspire	Dragonspire
Doomwhisper	Doomwhisper
Grimshear	Grimshear
Friendshadow	Friendshadow
Silkslayer	Silkslayer
Quickraze	Quickraze
Featherwarden	Featherwarden
Autumnhammer	Autumnhammer
Maskstopper	Maskstopper
Baneblossom	Baneblossom
Serpentsworn	Serpentsworn
Thorncaster	Thorncaster
Wreathsmiter	Wreathsmiter
Damselwinder	Damselwinder
Featherbringer	Featherbringer
Morningfade	Morningfade
Troublesong	Troublesong
Cursejacker	Cursejacker
Tearreaver	Tearreaver
Queenharvester	Queenharvester
Bloodstave	Bloodstave
Flickershatter	Flickershatter
Luckchorus	Luckchorus
Grieftrapper	Grieftrapper
Truthjester	Truthjester
Cursekeen	Cursekeen
Truthflash	Truthflash
Shadowscreamer	Shadowscreamer
Swifttide	Swifttide
Mad-loather	Mad-loather
Swiftblighter	Swiftblighter
Wraithmocker	Wraithmocker
Dustraze	Dustraze
Wishcleaver	Wishcleaver
Chilltaker	Chilltaker
Trollharrier	Trollharrier
Towerwhirl	Towerwhirl
Runeshock	Runeshock
Morningcoil	Morningcoil
Wavecutter	Wavecutter
Fateflayer	Fateflayer
Windshiver	Windshiver
Lieslayer	Lieslayer
Coingarden	Coingarden
Magereaver	Magereaver
Doomravener	Doomravener
Flameglory	Flameglory
Chainbinder	Chainbinder
Heavenshrieker	Heavenshrieker
Feather Eye	Feather Eye
Pathrazor	Pathrazor
Towersinger	Towersinger
Hollowstriker	Hollowstriker
Mistraze	Mistraze
Quickraze	Quickraze
Skullguard	Skullguard
Wolfcipher	Wolfcipher
Castlewing	Castlewing
Blackshiver	Blackshiver
Truetalon	Truetalon
Treason	Treason
Unwither	Unwither
Blacktooth	Blacktooth
Banebanisher	Banebanisher
Tenskinner	Tenskinner
Coinribbon	Coinribbon
Silktalon	Silktalon
Griefcarver	Griefcarver
Steelharrier	Steelharrier
Cradlefire	Cradlefire
Witchharrower	Witchharrower
Mistraze	Mistraze
Summergate	Summergate
Memorybiter	Memorybiter
Kingblade	Kingblade
Veilkiss	Veilkiss
Waveharp	Waveharp
Smokebinder	Smokebinder
Steelraider	Steelraider
Wreathbranch	Wreathbranch
Lawshard	Lawshard
Ghostbeat	Ghostbeat
Woundshell	Woundshell
Liberty	Liberty
Duskforge	Duskforge
Truthlasher	Truthlasher
Trollkeen	Trollkeen
Bloodstave	Bloodstave
Morningtracker	Morningtracker
Mercyravener	Mercyravener
Blightcipher	Blightcipher
Chaosstriker	Chaosstriker
Spellsunder	Spellsunder
Hundredsnapper	Hundredsnapper
Quickcrusher	Quickcrusher
Castlebringer	Castlebringer
Candlefinder	Candlefinder
Unthresher	Unthresher
Breathflame	Breathflame
Chilltaker	Chilltaker
Voidfall	Voidfall
Duskforge	Duskforge
Kin Atrocity	Kin Atrocity
Orphanbreaker	Orphanbreaker
Nightdoom	Nightdoom
Crystalbalm	Crystalbalm
Doomlasher	Doomlasher
Keepflayer	Keepflayer
Galeseeker	Galeseeker
Runetooth	Runetooth
Chanceshimmer	Chanceshimmer
Boneharp	Boneharp
Tearreaver	Tearreaver
Laceclaw	Laceclaw
Crystalwhirl	Crystalwhirl
Evenbranch	Evenbranch
Flickerravener	Flickerravener
Banefork	Banefork
Tideheart	Tideheart
Orphanraker	Orphanraker
Blackshiver	Blackshiver
Skyshiver	Skyshiver
Trolltongue	Trolltongue
Lawshard	Lawshard
Seaflow	Seaflow
Foeslicer	Foeslicer
Truthslasher	Truthslasher
Daytongue	Daytongue
Luckjag	Luckjag
Silkkiss	Silkkiss
Memoryharrier	Memoryharrier
Ratsinger	Ratsinger
Soulstroke	Soulstroke
Kingspark	Kingspark
Ruinwinder	Ruinwinder
Gloomshaver	Gloomshaver
Hazespire	Hazespire
Drakerender	Drakerender
Shardhalo	Shardhalo
Doomravener	Doomravener
Shepherdscourge	Shepherdscourge
Gazeharrier	Gazeharrier
Soulgate	Soulgate
Gazeharrier	Gazeharrier
Peacesnapper	Peacesnapper
Paleshock	Paleshock
Truthchorus	Truthchorus
Lightturner	Lightturner
Kintricker	Kintricker
Maidentricker	Maidentricker
Fateflayer	Fateflayer
Terrorhunter	Terrorhunter
Pathdrinker	Pathdrinker
Patterncaster	Patterncaster
Bonewyrd	Bonewyrd
Lifetricker	Lifetricker
Boltstaff	Boltstaff
Lionflame	Lionflame
Widowwither	Widowwither
Wintercaster	Wintercaster
Feardrift	Feardrift
Blight Eye	Blight Eye
Hazecleaver	Hazecleaver
Giantflicker	Giantflicker
Galeseeker	Galeseeker
Hazeflash	Hazeflash
Candlechorus	Candlechorus
Duskcipher	Duskcipher
Widowslayer	Widowslayer
Hexfury	Hexfury
Ratbane	Ratbane
Hopeblinder	Hopeblinder
Queenhowl	Queenhowl
Smokeravage	Smokeravage
Feathershell	Feathershell
Banefork	Banefork
Kinjacker	Kinjacker
Rosetale	Rosetale
Banebanisher	Banebanisher
Kintricker	Kintricker
Worldharp	Worldharp
Crestwraith	Crestwraith
Palemark	Palemark
Fogshatter	Fogshatter
Hundredkiller	Hundredkiller
Voidbrand	Voidbrand
Fleshbalm	Fleshbalm
Dragondarken	Dragondarken
Maskheart	Maskheart
Cloudguard	Cloudguard
Swiftblighter	Swiftblighter
Spiderraker	Spiderraker
Dustflux	Dustflux
Dusktooth	Dusktooth
Deathshadow	Deathshadow
Terrorbrand	Terrorbrand
Damseleater	Damseleater
Kinbringer	Kinbringer
Curse-loather	Curse-loather
Ghost's Rush	Ghost's Rush
Doomspinner	Doomspinner
Tenmocker	Tenmocker
Silktalon	Silktalon
Maidenraker	Maidenraker
Mirrorstrike	Mirrorstrike
Snowgate	Snowgate
Whiteraider	Whiteraider
Luckjag	Luckjag
Maskheart	Maskheart
Fleshhollow	Fleshhollow
Blackflicker	Blackflicker
Foxsplinter	Foxsplinter
Winterstaff	Winterstaff
Kintricker	Kintricker
Tainttrapper	Tainttrapper
Keepflayer	Keepflayer
Serpenttrapper	Serpenttrapper
Fiendravage	Fiendravage
Frostglass	Frostglass
Ruinwinder	Ruinwinder
Crystalborn	Crystalborn
Galestriker	Galestriker
Hexfury	Hexfury
Terrorstave	Terrorstave
Pathblossom	Pathblossom
Mistfell	Mistfell
Dustflux	Dustflux
Duskneedle	Duskneedle
Tenmocker	Tenmocker
Crystalfade	Crystalfade
Earthshatter	Earthshatter
Trollkeen	Trollkeen
Boneharp	Boneharp
Heirborn	Heirborn
Kinbinder	Kinbinder
Coldfang	Coldfang
Soulgate	Soulgate
Chanceguard	Chanceguard
Earthshaver	Earthshaver
Cradlefire	Cradlefire
Life Eye	Life Eye
Taintfury	Taintfury
Keep's End	Keep's End
Soulspinner	Soulspinner
Brightglass	Brightglass
Ratharrower	Ratharrower
Rainjacker	Rainjacker
Hexfury	Hexfury
Darkdrinker	Darkdrinker
Blackshiver	Blackshiver
Landstriker	Landstriker
Shadowanswerer	Shadowanswerer
Lionhand	Lionhand
Liekindle	Liekindle
Truthchorus	Truthchorus
Dragonhowl	Dragonhowl
Mercyspectre	Mercyspectre
Heartbreaker	Heartbreaker
Landstrike	Landstrike
Trolltongue	Trolltongue
Sparrowshell	Sparrowshell
Pathblossom	Pathblossom
Bloodcipher	Bloodcipher
Tideshell	Tideshell
Cradleblade	Cradleblade
Townwarden	Townwarden
Breathflame	Breathflame
Skullsworn	Skullsworn
Mercycleanser	Mercycleanser
Terrorstave	Terrorstave
Tideshell	Tideshell
Smokebinder	Smokebinder
Damselwinder	Damselwinder
Sandlasher	Sandlasher
Wraithcaller	Wraithcaller
Elfblossom	Elfblossom
Trueshear	Trueshear
Hoperazor	Hoperazor
Dragonfire	Dragonfire
Curse-loather	Curse-loather
Palemark	Palemark
Chaosbranch	Chaosbranch
Hexfury	Hexfury
Breathreaper	Breathreaper
Trolltongue	Trolltongue
Quickreaver	Quickreaver
Veilkiss	Veilkiss
Doomspinner	Doomspinner
Hollowjacker	Hollowjacker
Brightwraith	Brightwraith
Damselwinder	Damselwinder
Lawsunder	Lawsunder
Skyravener	Skyravener
Shepherdspindle	Shepherdspindle
Townwarden	Townwarden
Rosecleaver	Rosecleaver
Whiteraider	Whiteraider
Castlehollow	Castlehollow
Worldthorn	Worldthorn
Wolfsmiter	Wolfsmiter
Whiteraider	Whiteraider
Boltsinger	Boltsinger
Sorrow	Sorrow
Deathmarker	Deathmarker
Winterscourge	Winterscourge
Cradleblade	Cradleblade
Throneclaw	Throneclaw
Kingcry	Kingcry
Wraithmocker	Wraithmocker
Townforge	Townforge
Spiritweaver	Spiritweaver
Wavecutter	Wavecutter
Memoryharrier	Memoryharrier
Flickerbranch	Flickerbranch
Palejag	Palejag
Ghostflicker	Ghostflicker
Truthflux	Truthflux
Autumnborn	Autumnborn
Lionflame	Lionflame
Wintertale	Wintertale
Manchorus	Manchorus
Coinbanisher	Coinbanisher
Peacesnapper	Peacesnapper
Fleshbalm	Fleshbalm
Childfork	Childfork
Soulraider	Soulraider
Damselravage	Damselravage
Palewail	Palewail
Queenhowl	Queenhowl
Hazedaughter	Hazedaughter
Liberty	Liberty
Castlesaver	Castlesaver
Kinjacker	Kinjacker
Pathwand	Pathwand
Foewarden	Foewarden
Lightflux	Lightflux
Heaventhresher	Heaventhresher
Shieldharrower	Shieldharrower
Deathhealer	Deathhealer
Storm's End	Storm's End
Blackshiver	Blackshiver
Daytongue	Daytongue
Rimehalo	Rimehalo
Starfell	Starfell
Coldflame	Coldflame
Quickcoil	Quickcoil
Smokeshaver	Smokeshaver
Frostshiver	Frostshiver
Truthslasher	Truthslasher
Serpentbinder	Serpentbinder
Petalthorn	Petalthorn
Breathflame	Breathflame
Truewinder	Truewinder
Coldfang	Coldfang
Ruincry	Ruincry
Feardrift	Feardrift
Smokewhirl	Smokewhirl
Soulgate	Soulgate
Orphanwing	Orphanwing
Frosthunger	Frosthunger
Veildaughter	Veildaughter
Townforge	Townforge
Cursejacker	Cursejacker
Elfweeping	Elfweeping
Wintercaster	Wintercaster
Redcoil	Redcoil
Townhand	Townhand
Doomspinner	Doomspinner
Hundredkiller	Hundredkiller
Truthjester	Truthjester
Crystalfade	Crystalfade
Rainjacker	Rainjacker
Galeturner	Galeturner
Nightkeen	Nightkeen
Liferaider	Liferaider
Thoughtrazor	Thoughtrazor
Steelraze	Steelraze
Woundwither	Woundwither
Stonespark	Stonespark
Snowmoaner	Snowmoaner
Icewhisper	Icewhisper
